Tag;AVG_LWET200;AVG_RH200;AVG_TA020;AVG_TA200;AVG_TB005;AVG_WV200;DFROST;DHOT;DICE;DRAIN;DSUMM;DVEG;KWB;MAX_GS200;MAX_LWET200;MAX_NN050;MAX_RH200;MAX_TA020;MAX_TA200;MAX_TB005;MAX_WV200;MAX_WV200max;MIN_LWET200;MIN_RH200;MIN_TA020;MIN_TA200;MIN_TB005;SUM_GS200;SUM_NN050;SUM_SOH
18.07.2023;37,8;67,9;19,9;19,5;19,5;1,1;0;0;0;1;1;1;-2,9;808,2;98,8;0,9;95;27,8;26,1;20,2;1,9;3,3;6,4;44,2;10,3;11,5;18,7;5205;0,9;7
19.07.2023;33,5;61,1;22,3;22;19,8;2,6;0;0;0;0;1;1;-5,5;773,2;100;0,1;97,9;29,8;28;20,5;5,3;8,6;5,4;35,3;13,5;14,8;19,1;6898,4;0,1;11
20.07.2023;9;55,1;19,1;19,1;19,4;1,8;0;0;0;0;0;1;-4,7;771,1;14,3;0;81,2;27,1;24,5;20,1;2,8;5,4;5,2;34;10,9;12,7;18,7;6275,2;0;9
21.07.2023;26,6;71,9;16,8;16,6;18,9;1,4;0;0;0;1;0;1;-2,1;802,1;100;1;87,7;26,1;23,2;19,4;5,6;8,7;6,1;40;9,8;12,6;18,3;4636,3;1,5;6
22.07.2023;30,4;61,6;18,2;18,5;18,3;1,7;0;0;0;0;1;1;-4,6;847,4;100;0;96,1;27,6;25,1;19,1;3,7;7;5,7;36,2;8,4;9,9;17,3;6555,2;0;10
23.07.2023;13,4;50,7;20,1;21,1;18,3;2,1;0;0;0;0;1;1;-4,6;826,1;85,6;0;78,7;28,3;26;18,9;4,8;8,2;6,2;34,2;10,9;14,5;17,6;5038,9;0;7
24.07.2023;27,1;77,3;17,8;18,4;18,3;1,7;0;0;0;1;0;1;1,8;407,2;100;2,6;90,6;23;22,1;18,7;3,5;6,3;10,8;65,3;12,5;14,6;18;2272,6;4;0
25.07.2023;78;88,6;15,5;15,2;18;2,1;0;0;0;1;0;1;2,7;707,2;100;0,8;96,7;21,1;19,5;18,4;5,1;8,3;10,5;69,1;11,8;12;17,6;3602,9;5,2;3
26.07.2023;43,9;79,9;13,9;13,8;17,3;2,2;0;0;0;1;0;1;-1,9;590,4;97,8;0,4;95,2;19,2;17,8;17,7;4;6,7;9,6;53,2;8,4;10,9;17;3869,4;0,9;4
27.07.2023;43,9;80,2;15,8;16;16,7;1,1;0;0;0;1;0;1;-1,3;273,8;100;0,2;91,5;21,2;20,6;17,3;2,2;4;11,2;64,3;8,3;10,3;16,2;1974,2;0,5;0
28.07.2023;67,2;87,6;17,7;17,9;17,4;1,1;0;0;0;1;0;1;2,2;469,7;100;2,3;97,5;23,8;22,3;18,1;2,7;4,8;10,6;65,8;12,5;14,4;16,8;2465,8;4,3;1
29.07.2023;63;83,5;19,7;19,4;18,1;1,8;0;0;0;1;1;1;7,4;731,7;100;5,7;99;26,4;25,2;18,8;4,2;7,2;8,4;52,4;14,5;15,4;17,5;4578,8;11;6
30.07.2023;47,9;78,8;18;17,9;18,5;2,4;0;0;0;1;0;1;1,6;715,6;100;2,5;97,3;22,5;20,8;18,8;5,7;8,9;9,6;53,9;10,8;13,3;18,2;4840,5;5;6
31.07.2023;30,3;71,1;17,9;17,7;17,8;1,8;0;0;0;1;0;1;-1,5;719,4;100;1;93,5;24;22,7;18,3;3,4;6,1;8,5;52,2;10;11,8;17,1;4772,9;1,9;6
01.08.2023;33,1;72,3;18,3;18,2;18;3,1;0;0;0;1;0;1;0,3;928,5;99,6;2,8;92,5;23,5;21,6;18,4;5,8;9,4;8,7;51,4;14,1;15,1;17,7;4646,1;4;6
02.08.2023;47,5;81,2;17,8;17,8;17,7;2,5;0;0;0;1;0;1;6,6;696,3;100;3,1;93,3;25,3;24,5;18,2;4,6;8,9;10,5;61,2;12,9;14;17,2;2853;9,4;1
03.08.2023;14,6;66,7;18,4;18,2;17,8;3,4;0;0;0;0;0;1;-4,4;841,3;59;0;88,6;24;22;18,3;5,5;9,9;8,3;50;11,1;12,8;17,4;6218,6;0;10
04.08.2023;48,3;83,6;16,1;15,6;17,5;1,8;0;0;0;1;0;1;-0,9;688,7;99,9;1,6;94,2;22,7;19,5;18;3,5;5,4;9,8;63,7;9,9;11,3;16,9;4048,5;1,8;4
05.08.2023;26,1;77,1;17,6;16,8;17,8;1,7;0;0;0;1;0;1;-2,5;704,1;100;0,3;95,8;23,4;21,1;18,3;3;4,3;8,1;55,4;13,6;13,8;17,2;4245,3;0,5;5
06.08.2023;68,2;87,6;13,4;13,3;17,1;3,2;0;0;0;1;0;1;0,9;433;100;1;97,7;15,8;15,1;18;5,7;10,1;12,4;73,7;10;10,7;16,5;2873,1;2,8;1
07.08.2023;20,7;71,8;13,6;13,4;15,9;3,3;0;0;0;1;0;1;-2,6;566,8;100;0,2;92,3;18,3;17,1;16,4;5,8;9,5;9,8;55,6;9,9;10,2;15,6;3629,5;0,2;3
08.08.2023;11,3;65,4;16,6;16,4;16;2,2;0;0;0;0;0;1;-4;895,8;15,7;0;85,8;23,7;21,2;16,8;4,3;7,3;7,2;41,8;9,4;10,9;15,3;5706,8;0;9
09.08.2023;42,5;74;17,3;17,3;16,6;2,1;0;0;0;1;0;1;1,4;551,1;100;1,9;94,5;22,3;21,3;17,1;4,3;6,7;9,4;57,6;13,3;14,1;16,3;3244,4;4,1;3
10.08.2023;38,8;75,6;17,8;17,3;17,2;1,1;0;0;0;0;0;1;-3,9;869,5;100;0,1;98,8;27,4;24,7;18,5;1,8;3,4;5,8;45,9;9;10,2;16,1;6623,2;0,1;12
11.08.2023;34,2;66,8;21,4;21,2;18;1,1;0;0;0;0;1;1;-4,7;841,3;100;0;96,3;31,7;29,5;19,5;1,8;3,5;5;43,2;9,4;11,1;16,6;7060,4;0;13
12.08.2023;39;80,6;21,9;21,7;19,1;1,2;0;0;0;1;1;1;3,6;705;99,8;3,1;97,9;31,3;29;19,9;4,4;6,9;7,4;48,9;14,3;16,5;18,3;4419,6;7,1;6
13.08.2023;68,4;91,9;21;20,5;19,7;1;0;0;0;1;1;1;4,3;697;100;2,9;99,6;27,3;25,6;20,5;2,7;4,3;9,6;71,2;15,7;17,1;19;4157,6;7,2;5
14.08.2023;49,7;81,6;23,6;23,3;20,3;1;0;0;0;1;1;1;-1;725,8;100;2;99,5;31,5;29,6;21,3;2,5;4,3;7,6;57,4;16,3;17,3;19,4;5248,4;2,8;8
15.08.2023;45,9;76;23,3;23,3;20,9;1,5;0;0;0;0;1;1;-4,2;794,3;100;0;99;30,6;28,5;21,6;3,7;5,6;7,1;47,8;17,1;18,2;20,2;5598,6;0;9
16.08.2023;53,9;80,4;22,4;22,1;20,9;1,2;0;1;0;1;1;1;0;759,9;100;1,9;98;31,5;30,3;21,8;2,4;4,5;5,9;48,1;15,5;16,7;20;5274,3;4;8
17.08.2023;37,5;86,4;22;21,6;21;0,9;0;0;0;0;1;1;-2,9;718,6;98,2;0;98,6;29,6;27,5;21,5;2,4;3,8;8,1;59,9;16,8;17,4;20,4;3896,4;0;5
18.08.2023;26,8;64,7;23,7;23,9;21,1;1,1;0;1;0;0;1;1;-4,8;823,3;100;0;95,6;32,7;31,7;22;1,8;3,4;4,4;34,6;14,4;15,4;20,1;6796,9;0;13
19.08.2023;24,6;66,9;24,3;24,6;21,3;1,3;0;1;0;0;1;1;-4,7;809,6;86,9;0;93;36,5;33,8;22,2;3,8;5,9;3,8;32;14,7;16,5;20,2;5663,3;0;10
20.08.2023;37;73,2;24,7;25;21,7;1,1;0;1;0;0;1;1;-4,4;784,7;100;0;97,7;33;31,5;22,7;2,3;4;6,2;47,8;16,7;17,9;20,6;6104,8;0;11
21.08.2023;22,6;70,1;25,5;25,7;22,1;1,1;0;1;0;0;1;1;-4,4;777,1;86,4;0;95,8;32,7;31,5;23;2,2;4,1;6,3;47,4;17,5;19;21,2;5919,8;0;10
22.08.2023;19,3;68,6;25,1;25,2;22,2;1,3;0;1;0;0;1;1;-4,2;699;81,4;0;93,1;34,1;31,4;23;3,6;5,5;6,3;46,9;16,8;18,2;21,2;5418,9;0;9
